ESTUDIANTE,promedio_general,promedio_mediana,promedio_min,promedio_max,promedio_std,asistencia_promedio,asistencia_mediana,asistencia_min,asistencia_max,asistencia_std,total_materias,materias_aprobadas,materias_reprobadas,tasa_aprobacion,tasa_reprobacion,max_vez_cursada,promedio_vez_cursada,materias_repetidas,nivel_max,nivel_min,num_periodos,num_materias_distintas,avance_niveles,num_periodos_regulares,materias_nota_cero,materias_asist_cero,materias_nota_menor5,materias_asist_menor50,pct_nota_cero,pct_asist_cero,materias_ingles,registros_especiales,materias_prom_periodo,materias_max_periodo,prom_primer,asist_primer,prom_ultimo,asist_ultimo,cambio_promedio,cambio_asistencia,DESERTOR
Estudiante 195,8.970689655172412,9.15,6.76,9.93,0.7640911082291671,88.41379310344827,100.0,0,100,30.67632549398327,29,28,1,0.9655172413793104,0.034482758620689655,1,1.0,0,4,1,7,29,3,4,0,3,0,3,0.0,0.10344827586206896,3,3,4.142857142857143,7,8.885714285714286,100.0,6.76,0.0,-2.1257142857142863,-100.0,0
Estudiante 196,9.443214285714287,9.395,8.67,10.0,0.38262304795372276,95.53571428571429,100.0,0,100,18.833544035905213,28,28,0,1.0,0.0,1,1.0,0,4,1,6,28,3,4,0,1,0,1,0.0,0.03571428571428571,2,1,4.666666666666667,7,9.25,98.0,9.711666666666666,100.0,0.461666666666666,2.0,0
Estudiante 197,8.772758620689656,8.9,7.02,9.94,0.6977970261151675,89.0,100.0,0,100,30.812798824978092,29,29,0,1.0,0.0,1,1.0,0,4,1,7,29,3,4,0,3,0,3,0.0,0.10344827586206896,3,3,4.142857142857143,7,8.394285714285713,100.0,9.39,0.0,0.9957142857142873,-100.0,0
Estudiante 198,8.814285714285715,8.97,7.09,9.93,0.713242094743633,91.75,100.0,0,100,26.009435609807852,28,28,0,1.0,0.0,1,1.0,0,4,1,6,28,3,4,0,2,0,2,0.0,0.07142857142857142,2,2,4.666666666666667,7,8.51142857142857,100.0,8.888333333333334,99.5,0.37690476190476296,-0.5,0
Estudiante 199,8.219615384615384,8.32,3.56,9.54,1.1414393747167855,95.11538461538461,100.0,67,100,8.44429711972251,26,25,1,0.9615384615384616,0.038461538461538464,1,1.0,0,4,1,4,26,3,4,0,0,1,0,0.0,0.0,0,0,6.5,7,8.278571428571428,99.42857142857143,7.435,93.5,-0.8435714285714289,-5.928571428571431,0
Estudiante 2,7.649375,8.075,0.0,10.0,2.296035623271846,86.3125,90.0,0,100,23.935242495812176,16,14,2,0.875,0.125,3,1.1875,2,3,1,3,14,2,3,1,1,1,1,0.0625,0.0625,0,0,5.333333333333333,7,7.721428571428571,93.28571428571429,8.278,91.2,0.5565714285714298,-2.085714285714289,0
Estudiante 20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,7,0,7,0.0,1.0,1,1.0,0,1,1,1,7,0,1,7,7,7,7,1.0,1.0,0,0,7.0,7,0.0,0.0,0.0,0.0,0.0,0.0,1
Estudiante 200,8.829642857142856,8.83,7.08,10.0,0.8434781700082244,90.0,100.0,0,100,25.74950556878786,28,28,0,1.0,0.0,1,1.0,0,4,1,6,28,3,4,0,2,0,2,0.0,0.07142857142857142,2,2,4.666666666666667,7,8.532857142857143,97.0,8.48,0.0,-0.05285714285714249,-97.0,0
Estudiante 201,9.183,9.305,7.92,10.0,0.6795543671635363,85.9,100.0,0,100,34.313312988924025,30,30,0,1.0,0.0,1,1.0,0,4,1,4,30,3,4,0,4,0,4,0.0,0.13333333333333333,4,4,7.5,11,9.521818181818182,63.27272727272727,9.088333333333333,99.33333333333333,-0.4334848484848486,36.060606060606055,0
Estudiante 202,8.999642857142858,9.035,7.33,10.0,0.6707567983551734,96.28571428571429,100.0,0,100,18.885340469689304,28,28,0,1.0,0.0,1,1.0,0,4,1,6,28,3,4,0,1,0,1,0.0,0.03571428571428571,2,1,4.666666666666667,7,9.232857142857142,99.42857142857143,9.163333333333334,100.0,-0.06952380952380821,0.5714285714285694,0
